date,price,demand,1_lag_pred,avg_cloudCover,avg_daytime,avg_dewPoint,avg_feelslikemax,avg_feelslikemin,avg_humidity,avg_moonPhase,avg_precipIntensity,avg_precipProbability,avg_pressure,avg_tempmax,avg_tempmin,avg_uvIndex,avg_visibility,avg_windBearing,avg_windGust,avg_windSpeed,avg_temp
2022-05-28,24.476249999999993,324384,36.514999999999986,15.145822454308098,15.200103532056856,47.36005221932113,62.427415143602936,46.70704960835516,74.27337467362926,0.3449999999999998,0.2771083550913839,74.28198433420366,1017.3015013054801,62.67721932114869,50.456919060052115,3.5509138381201044,196.95926892950396,120.47154046997382,25.278488372093033,13.933093994778067,6.110150130548288
2022-05-29,12.16833333333333,331148,22.655416666666664,9.929308093994782,15.225404881055985,44.9786553524804,66.37969973890353,45.83133159268929,66.08387075718015,0.3849999999999959,0.09170365535248022,44.25587467362924,1015.7434073107048,66.32375979112285,48.40593994778066,6.596605744125326,198.29569190600503,162.70593994778054,25.94075573549262,14.82389033942557,8.958909921671097
2022-05-30,23.139166666666668,392317,42.295,9.335835509138382,15.249755584566302,41.07421671018278,63.33616187989554,42.73766318537866,63.76363577023506,0.439999999999998,0.0511422976501309,34.791122715404704,1020.0625979112295,63.363250652741506,44.3609007832899,7.081592689295039,199.42630548302867,213.6742167101826,23.363617021276546,14.078655352480405,9.501174934725803
2022-05-31,46.405416666666675,428085,55.74583333333334,9.195757180156653,15.273121554975374,37.73844647519583,64.33694516971278,40.24921671018274,57.14481070496089,0.4950000000000036,0.008302872062663152,21.932114882506532,1023.427872062662,64.34144908616186,42.45750652741521,8.150130548302872,199.9598563968666,254.37519582245395,22.521742313323532,12.432832898172355,10.941971279373323
2022-06-01,49.13666666666668,400216,61.80625,14.90887728459529,15.295503698868579,42.57826370757183,72.05881201044393,48.50339425587465,54.0364033942559,0.5450000000000028,0.009249347258485592,19.64751958224543,1021.5704960835517,72.05665796344655,49.53609660574414,8.122715404699736,155.8462140992167,235.9535248041777,22.233243243243237,13.361684073107055,11.260280678851206
2022-06-02,30.18875,349683,40.95916666666667,15.06644908616188,15.316859406730511,49.738511749347204,73.62043080939947,51.95515665796346,65.12530678851172,0.5950000000000114,0.06622062663185377,54.69973890339426,1015.3788511749382,73.44725848563971,52.21795039164488,6.904046997389034,168.28492167101842,177.0578328981723,23.11878172588832,11.488968668407296,10.614654046997416
2022-06-03,9.070000000000002,342671,26.427916666666672,13.915339425587472,15.337199376269217,57.90698433420364,73.72584856396874,57.58505221932126,80.3996736292428,0.6349999999999939,0.2287075718015669,78.32898172323759,1008.3140339425573,73.69875979112278,57.59595300261107,5.5202349869451695,195.92304177545697,205.31436031331575,24.0051282051282,11.27780678851177,8.051403394255857
2022-06-04,5.678750000000001,305212,9.588333333333333,11.062206266318539,15.356495322019146,57.16018276762394,78.44484334203659,56.83890339425582,72.20213446475202,0.6750000000000075,0.005385117493472586,10.509138381201042,1009.1725848563947,78.46749347258488,56.87741514360307,7.645561357702349,191.1973890339423,224.47206266318508,21.868134715025874,11.381853785900779,10.795039164490902
2022-06-05,6.910000000000001,306524,13.100000000000001,8.90483028720627,15.374719502465929,58.09699738903407,81.13387728459527,60.910313315926906,66.37755221932119,0.6999999999999944,0.0279699738903394,27.54569190600522,1009.7173629242801,81.43270234986944,60.95124020887729,7.598563968668407,196.8193211488251,224.49516971279357,23.939673913043386,13.774347258485653,10.240731070496079
2022-06-06,17.827916666666663,344811,35.20666666666667,8.165013054830277,15.391874456048734,55.27865535248028,79.92898172323753,61.32271540469976,60.51543080939943,0.7250000000000104,0.05284595300261097,33.61618798955614,1012.8094647519566,79.5281331592688,61.469778067885095,7.815926892950393,198.05894255874654,249.32513054830258,24.92640750670232,14.703720626631863,9.029177545691855
2022-06-07,22.557916666666667,350039,35.00541666666667,8.595496083550909,15.407935523643744,53.884856396866816,76.67976501305478,57.77428198433417,64.01159921671021,0.7450000000000038,0.010600522193211488,6.592689295039165,1016.516971279372,75.51814621409912,58.19869451697127,7.4660574412532625,197.05208877284588,230.12845953002625,21.514927536231784,12.860117493472586,8.659725848563923
2022-06-08,22.015416666666663,344570,37.41166666666667,10.645822454308098,15.422887293298526,56.25156657963438,76.89536553524805,58.484921671018206,70.74135770234986,0.7649999999999895,0.11234334203655318,52.48041775456919,1017.1295691905983,76.12500000000004,58.74020887728451,7.426892950391644,196.671409921671,195.6888381201043,20.281300813008126,8.535574412532648,8.692395561357767
