timestamp,Date,load,Year,Month,Hour
2020-01-04 09:00:00,2020-01-04,15432.0,2020,1,10.0
2020-01-04 10:00:00,2020-01-04,15880.0,2020,1,11.0
2020-01-04 11:00:00,2020-01-04,16125.0,2020,1,12.0
2020-01-04 12:00:00,2020-01-04,16131.0,2020,1,13.0
2020-01-04 13:00:00,2020-01-04,16123.0,2020,1,14.0
2020-01-04 14:00:00,2020-01-04,16082.0,2020,1,15.0
2020-01-04 15:00:00,2020-01-04,16139.0,2020,1,16.0
2020-01-04 16:00:00,2020-01-04,16640.0,2020,1,17.0
2020-01-04 17:00:00,2020-01-04,17273.0,2020,1,18.0
2020-01-04 18:00:00,2020-01-04,16885.0,2020,1,19.0
2020-01-04 19:00:00,2020-01-04,16579.0,2020,1,20.0
2020-01-04 20:00:00,2020-01-04,16251.0,2020,1,21.0
2020-01-04 21:00:00,2020-01-04,15788.0,2020,1,22.0
2020-01-04 22:00:00,2020-01-04,15023.0,2020,1,23.0
2020-01-04 23:00:00,2020-01-04,14213.0,2020,1,24.0
2020-01-05 00:00:00,2020-01-05,13678.0,2020,1,1.0
2020-01-05 01:00:00,2020-01-05,13156.0,2020,1,2.0
2020-01-05 02:00:00,2020-01-05,12831.0,2020,1,3.0
2020-01-05 03:00:00,2020-01-05,12827.0,2020,1,4.0
2020-01-05 04:00:00,2020-01-05,12822.0,2020,1,5.0
2020-01-05 05:00:00,2020-01-05,12994.0,2020,1,6.0
2020-01-05 06:00:00,2020-01-05,13468.0,2020,1,7.0
2020-01-05 07:00:00,2020-01-05,13991.0,2020,1,8.0
2020-01-05 08:00:00,2020-01-05,14406.0,2020,1,9.0
2020-01-05 09:00:00,2020-01-05,14727.0,2020,1,10.0
2020-01-05 10:00:00,2020-01-05,14913.0,2020,1,11.0
2020-01-05 11:00:00,2020-01-05,14979.0,2020,1,12.0
2020-01-05 12:00:00,2020-01-05,15208.0,2020,1,13.0
2020-01-05 13:00:00,2020-01-05,15412.0,2020,1,14.0
2020-01-05 14:00:00,2020-01-05,15750.0,2020,1,15.0
2020-01-05 15:00:00,2020-01-05,15992.0,2020,1,16.0
2020-01-05 16:00:00,2020-01-05,16846.0,2020,1,17.0
2020-01-05 17:00:00,2020-01-05,17885.0,2020,1,18.0
2020-01-05 18:00:00,2020-01-05,17617.0,2020,1,19.0
2020-01-05 19:00:00,2020-01-05,17288.0,2020,1,20.0
2020-01-05 20:00:00,2020-01-05,16853.0,2020,1,21.0
2020-01-05 21:00:00,2020-01-05,16207.0,2020,1,22.0
2020-01-05 22:00:00,2020-01-05,15354.0,2020,1,23.0
2020-01-05 23:00:00,2020-01-05,14477.0,2020,1,24.0
2020-01-06 00:00:00,2020-01-06,13928.0,2020,1,1.0
2020-01-06 01:00:00,2020-01-06,13629.0,2020,1,2.0
2020-01-06 02:00:00,2020-01-06,13484.0,2020,1,3.0
2020-01-06 03:00:00,2020-01-06,13454.0,2020,1,4.0
2020-01-06 04:00:00,2020-01-06,13602.0,2020,1,5.0
2020-01-06 05:00:00,2020-01-06,14206.0,2020,1,6.0
2020-01-06 06:00:00,2020-01-06,15539.0,2020,1,7.0
2020-01-06 07:00:00,2020-01-06,16992.0,2020,1,8.0
2020-01-06 08:00:00,2020-01-06,17125.0,2020,1,9.0
2020-01-06 09:00:00,2020-01-06,17055.0,2020,1,10.0
2020-01-06 10:00:00,2020-01-06,16949.0,2020,1,11.0
2020-01-06 11:00:00,2020-01-06,16846.0,2020,1,12.0
2020-01-06 12:00:00,2020-01-06,16738.0,2020,1,13.0
2020-01-06 13:00:00,2020-01-06,16548.0,2020,1,14.0
2020-01-06 14:00:00,2020-01-06,16419.0,2020,1,15.0
2020-01-06 15:00:00,2020-01-06,16723.0,2020,1,16.0
2020-01-06 16:00:00,2020-01-06,17668.0,2020,1,17.0
2020-01-06 17:00:00,2020-01-06,18680.0,2020,1,18.0
2020-01-06 18:00:00,2020-01-06,18368.0,2020,1,19.0
